E, 1 - qF(E), E_0, E_B, E_D, E_B(Theory), Sites, Localized State, Extended State, Dark State
-1.660000000000018,8.920850447500897,nan,nan,nan,nan,nan,nan,nan,nan
-1.650000000000018,6.424620062713398,nan,nan,nan,nan,nan,nan,nan,nan
-1.640000000000018,5.097996505919415,nan,nan,nan,nan,nan,nan,nan,nan
-1.630000000000019,4.272886518716176,nan,nan,nan,nan,nan,nan,nan,nan
-1.620000000000019,3.708708015619973,nan,nan,nan,nan,nan,nan,nan,nan
-1.610000000000019,3.297585460712524,nan,nan,nan,nan,nan,nan,nan,nan
-1.600000000000019,2.983929971257388,nan,nan,nan,nan,nan,nan,nan,nan
-1.590000000000019,2.736179489509523,nan,nan,nan,nan,nan,nan,nan,nan
-1.58000000000002,2.535079997355452,nan,nan,nan,nan,nan,nan,nan,nan
-1.57000000000002,2.368216237300565,nan,nan,nan,nan,nan,nan,nan,nan
-1.56000000000002,2.227221015353237,nan,nan,nan,nan,nan,nan,nan,nan
-1.55000000000002,2.106248073458742,nan,nan,nan,nan,nan,nan,nan,nan
-1.54000000000002,2.001087870543674,nan,nan,nan,nan,nan,nan,nan,nan
-1.530000000000021,1.908631187164988,nan,nan,nan,nan,nan,nan,nan,nan
-1.520000000000021,1.826530733816731,nan,nan,nan,nan,nan,nan,nan,nan
-1.510000000000021,1.752980420840448,nan,nan,nan,nan,nan,nan,nan,nan
-1.500000000000021,1.686567164179239,nan,nan,nan,nan,nan,nan,nan,nan
-1.490000000000022,1.626168853460324,nan,nan,nan,nan,nan,nan,nan,nan
-1.480000000000022,1.570882527175002,nan,nan,nan,nan,nan,nan,nan,nan
-1.470000000000022,1.51997280576363,nan,nan,nan,nan,nan,nan,nan,nan
-1.460000000000022,1.472834210161337,nan,nan,nan,nan,nan,nan,nan,nan
-1.450000000000022,1.428963185630469,nan,nan,nan,nan,nan,nan,nan,nan
-1.440000000000023,1.387937029390849,nan,nan,nan,nan,nan,nan,nan,nan
-1.430000000000023,1.349397807853434,nan,nan,nan,nan,nan,nan,nan,nan
-1.420000000000023,1.313039932350894,nan,nan,nan,nan,nan,nan,nan,nan
-1.410000000000023,1.278600452765713,nan,nan,nan,nan,nan,nan,nan,nan
-1.400000000000023,1.245851394544495,nan,nan,nan,nan,nan,nan,nan,nan
-1.390000000000024,1.214593648784881,nan,nan,nan,nan,nan,nan,nan,nan
-1.380000000000024,1.184652054452507,nan,nan,nan,nan,nan,nan,nan,nan
-1.370000000000024,1.1558714038663,nan,nan,nan,nan,nan,nan,nan,nan
-1.360000000000024,1.128113168935473,nan,nan,nan,nan,nan,nan,nan,nan
-1.350000000000025,1.101252793971421,nan,nan,nan,nan,nan,nan,nan,nan
-1.340000000000025,1.075177436478428,nan,nan,nan,nan,nan,nan,nan,nan
-1.330000000000025,1.049784063755958,nan,nan,nan,nan,nan,nan,nan,nan
-1.320000000000025,1.024977832932132,nan,nan,nan,nan,nan,nan,nan,nan
-1.310000000000025,1.000670696958755,nan,nan,nan,nan,nan,nan,nan,nan
-1.300000000000026,0.9767801903869522,nan,nan,nan,nan,nan,nan,nan,nan
-1.290000000000026,0.9532283573072434,nan,nan,nan,nan,nan,nan,nan,nan
-1.280000000000026,0.9299407903253959,nan,nan,nan,nan,nan,nan,nan,nan
-1.270000000000026,0.9068457543227392,nan,nan,nan,nan,nan,nan,nan,nan
-1.260000000000026,0.883873372353231,nan,nan,nan,nan,nan,nan,nan,nan
