q,W_dark,W_extended,W_localized,M_dark,M_extended,M_localized,l,N,q_theory,q_MSD,relative_error_percent
1.09,0.4999999999999983,0.4404765582878026,0.05952344171219941,3333.54,3325.536934459228,5.683359986533134,nan,nan,nan,nan,nan
1.1,0.4999999999999993,0.441099255008521,0.05890074499147967,3333.54,3325.63097169343,5.652892561983468,nan,nan,nan,nan,nan
1.11,0.5000000000000017,0.4417186970819041,0.05828130291809475,3333.539999999999,3325.72440945774,5.623244866488109,nan,nan,nan,nan,nan
1.12,0.4999999999999999,0.4423347489042097,0.05766525109579038,3333.540000000001,3325.817223084039,5.594387755102027,nan,nan,nan,nan,nan
1.13,0.5000000000000028,0.4429472826068608,0.05705271739313634,3333.54,3325.909389686768,5.566293366747596,nan,nan,nan,nan,nan
1.14,0.4999999999999969,0.443556177778218,0.05644382222178553,3333.54,3326.000888079524,5.538935056940598,nan,nan,nan,nan,nan
1.15,0.5000000000000012,0.4441613211933308,0.05583867880666817,3333.54,3326.091698694901,5.512287334593571,nan,nan,nan,nan,nan
1.16,0.5000000000000027,0.4447626065517009,0.05523739344829658,3333.539999999999,3326.181803507635,5.486325802615937,nan,nan,nan,nan,nan
1.17,0.5000000000000011,0.4453599342226336,0.05464006577736572,3333.54,3326.271185960843,5.461027102052746,nan,nan,nan,nan,nan
1.18,0.5000000000000008,0.4459532109981767,0.05404678900182201,3333.539999999999,3326.359830895246,5.436368859523119,nan,nan,nan,nan,nan
1.19,0.4999999999999966,0.4465423498534222,0.05345765014658126,3333.54,3326.447724481359,5.412329637737452,nan,nan,nan,nan,nan
1.2,0.5000000000000032,0.4471272697139342,0.05287273028606248,3333.540000000001,3326.534854154432,5.388888888888899,nan,nan,nan,nan,nan
1.21,0.4999999999999992,0.4477078952302866,0.05229210476971399,3333.54,3326.621208552119,5.366026910730135,nan,nan,nan,nan,nan
1.22,0.4999999999999995,0.4482841565593027,0.05171584344069802,3333.540000000001,3326.706777454742,5.343724805159908,nan,nan,nan,nan,nan
1.23,0.4999999999999988,0.4488559891521041,0.05114401084789651,3333.539999999999,3326.791551728077,5.32196443915659,nan,nan,nan,nan,nan
1.24,0.4999999999999984,0.4494233335485946,0.05057666645140723,3333.54,3326.875523268547,5.300728407908428,nan,nan,nan,nan,nan
1.25,0.4999999999999996,0.4499861351783135,0.05001386482168662,3333.540000000002,3326.95868495075,5.279999999999997,nan,nan,nan,nan,nan
1.26,0.5000000000000006,0.4505443441674994,0.04945565583250007,3333.539999999999,3327.041030577208,5.259763164525072,nan,nan,nan,nan,nan
1.27,0.4999999999999987,0.4510979151521686,0.04890208484783245,3333.54,3327.122554830315,5.240002480004953,nan,nan,nan,nan,nan
1.28,0.500000000000001,0.4516468070970814,0.0483531929029179,3333.54,3327.203253226303,5.220703125000008,nan,nan,nan,nan,nan
1.29,0.4999999999999998,0.4521909831204699,0.04780901687953071,3333.54,3327.283122071243,5.201850850309472,nan,nan,nan,nan,nan
1.3,0.4999999999999986,0.4527304103243066,0.04726958967569491,3333.540000000001,3327.362158418959,5.18343195266272,nan,nan,nan,nan,nan
1.31,0.5,0.4532650596300502,0.04673494036994962,3333.54,3327.440360030739,5.165433249810621,nan,nan,nan,nan,nan
1.32,0.5000000000000018,0.4537949056196809,0.04620509438031792,3333.540000000001,3327.517725336904,5.147842056932963,nan,nan,nan,nan,nan
1.33,0.4999999999999992,0.4543199263818821,0.04568007361811856,3333.539999999999,3327.594253399978,5.130646164282883,nan,nan,nan,nan,nan
1.34,0.5000000000000028,0.454840103363242,0.04515989663675542,3333.54,3327.669943879563,5.113833815994655,nan,nan,nan,nan,nan
1.35,0.5000000000000006,0.4553554212243777,0.04464457877562181,3333.54,3327.744796998746,5.097393689986289,nan,nan,nan,nan,nan
1.36,0.5000000000000029,0.455865867700744,0.0441341322992528,3333.54,3327.818813512027,5.081314878892737,nan,nan,nan,nan,nan
1.37,0.4999999999999989,0.4563714334681496,0.04362856653185113,3333.540000000001,3327.891994674686,5.065586871969741,nan,nan,nan,nan,nan
1.38,0.5000000000000028,0.4568721120126788,0.04312788798731867,3333.539999999999,3327.964342213534,5.050199537912205,nan,nan,nan,nan,nan
1.39,0.5000000000000018,0.4573678995050848,0.0426321004949133,3333.539999999999,3328.035858298993,5.03514310853476,nan,nan,nan,nan,nan
1.4,0.4999999999999995,0.4578587946793437,0.04214120532065637,3333.540000000001,3328.106545518445,5.020408163265305,nan,nan,nan,nan,nan
1.41,0.5000000000000012,0.4583447987153898,0.04165520128460792,3333.539999999998,3328.176406850829,5.00598561440571,nan,nan,nan,nan,nan
1.42,0.5000000000000002,0.4588259151258713,0.04117408487412812,3333.54,3328.245445642388,4.99186669311645,nan,nan,nan,nan,nan
1.43,0.5000000000000006,0.4593021496467645,0.04069785035323523,3333.539999999998,3328.313665583518,4.978042936084888,nan,nan,nan,nan,nan
1.44,0.5,0.4597735101318211,0.04022648986817875,3333.54,3328.381070686752,4.964506172839497,nan,nan,nan,nan,nan
1.45,0.4999999999999997,0.4602400064506712,0.03975999354932933,3333.54,3328.447665265721,4.951248513674203,nan,nan,nan,nan,nan
1.46,0.4999999999999984,0.4607016503905044,0.03929834960949705,3333.54,3328.513453915144,4.938262338149749,nan,nan,nan,nan,nan
1.47,0.4999999999999991,0.46115845556122,0.03884154443878088,3333.54,3328.578441491718,4.925540284140859,nan,nan,nan,nan,nan
1.48,0.4999999999999999,0.4616104373039497,0.03838956269605032,3333.539999999999,3328.642633095965,4.913075237399568,nan,nan,nan,nan,nan
1.49,0.4999999999999967,0.4620576126028421,0.03794238739716119,3333.540000000001,3328.706034054917,4.900860321607133,nan,nan,nan,nan,nan
1.5,0.499999999999998,0.4625000000000013,0.03750000000000007,3333.54,3328.768649905635,4.888888888888899,nan,nan,nan,nan,nan
1.51,0.5000000000000018,0.462937619513546,0.03706238048645307,3333.54,3328.830486379529,4.877154510767069,nan,nan,nan,nan,nan
1.52,0.500000000000002,0.463370492558604,0.03662950744139395,3333.54,3328.89154938744,4.865650969529096,nan,nan,nan,nan,nan
1.53,0.5000000000000003,0.4637986418712226,0.03620135812877666,3333.539999999999,3328.951845005442,4.854372249989322,nan,nan,nan,nan,nan
1.54,0.5000000000000013,0.4642220914350707,0.03577790856492719,3333.539999999998,3329.011379461363,4.843312531624214,nan,nan,nan,nan,nan
1.55,0.4999999999999997,0.4646408664108875,0.03535913358911314,3333.540000000002,3329.070159121936,4.832466181061383,nan,nan,nan,nan,nan
1.56,0.4999999999999971,0.4650549930685204,0.03494500693148241,3333.54,3329.128190480625,4.821827744904666,nan,nan,nan,nan,nan
1.57,0.5000000000000003,0.4654644987215526,0.0345355012784465,3333.540000000001,3329.185480146035,4.811391942878001,nan,nan,nan,nan,nan
1.58,0.4999999999999983,0.4658694116644093,0.034130588335592,3333.540000000002,3329.242034830928,4.80115366127223,nan,nan,nan,nan,nan
1.59,0.5000000000000007,0.4662697611118054,0.0337302388881944,3333.54,3329.297861341767,4.791107946679338,nan,nan,nan,nan,nan
1.6,0.4999999999999989,0.4666655771405872,0.03333442285941394,3333.54,3329.352966568823,4.781250000000002,nan,nan,nan,nan,nan
1.61,0.4999999999999988,0.4670568906337585,0.03294310936624275,3333.540000000002,3329.407357476784,4.771575170711011,nan,nan,nan,nan,nan
1.62,0.4999999999999976,0.4674437332267233,0.03255626677327862,3333.54,3329.461041095826,4.762078951379361,nan,nan,nan,nan,nan
1.63,0.5000000000000008,0.4678261372556076,0.03217386274439154,3333.540000000001,3329.514024513188,4.752756972411461,nan,nan,nan,nan,nan
1.64,0.5000000000000006,0.4682041357076444,0.03179586429235444,3333.540000000001,3329.566314865157,4.743604997025589,nan,nan,nan,nan,nan
1.65,0.4999999999999957,0.468577762173503,0.03142223782650071,3333.540000000001,3329.617919329511,4.734618916437081,nan,nan,nan,nan,nan
1.66,0.4999999999999978,0.4689470508015257,0.03105294919847618,3333.540000000001,3329.668845118347,4.725794745246042,nan,nan,nan,nan,nan
1.67,0.5000000000000009,0.4693120362538554,0.03068796374614385,3333.54,3329.719099471281,4.717128617017465,nan,nan,nan,nan,nan
1.68,0.5000000000000014,0.4696727536642915,0.03032724633570722,3333.54,3329.768689649049,4.708616780045354,nan,nan,nan,nan,nan
